,depth,depth2,p_sex,p_sex2,p_age_range,median_growth,median_wage,count2
0,28.0,28,2.0,2,50~59,16.62,299.44,25.0
0,28.0,28,2.0,2,60~69,5.94,170.64,14.0
0,28.0,28,2.0,2,70~79,5.43,125.0,3.0
0,,28,,2,80~89,,,0.0
0,,28,,2,90~99,,,0.0
0,31.0,31,1.0,1,20~29,5.77,194.85,557.0
0,31.0,31,1.0,1,30~39,5.87,282.05,2745.0
0,31.0,31,1.0,1,40~49,4.92,368.0,3168.0
0,31.0,31,1.0,1,50~59,3.16,399.5,1522.0
0,31.0,31,1.0,1,60~69,2.05,260.05,433.0
0,31.0,31,1.0,1,70~79,4.28,233.6,58.0
0,,31,,1,80~89,,,0.0
0,,31,,1,90~99,,,0.0
0,31.0,31,2.0,2,20~29,7.04,174.3,1291.0
0,31.0,31,2.0,2,30~39,5.24,216.5,2203.0
0,31.0,31,2.0,2,40~49,5.22,242.15,1518.0
0,31.0,31,2.0,2,50~59,4.69,219.2,494.0
0,31.0,31,2.0,2,60~69,5.24,203.75,81.0
0,31.0,31,2.0,2,70~79,4.52,216.67,4.0
0,31.0,31,2.0,2,80~89,,300.0,1.0
0,,31,,2,90~99,,,0.0
0,32.0,32,1.0,1,20~29,17.13,225.21,50.0
0,32.0,32,1.0,1,30~39,6.57,318.9,247.0
0,32.0,32,1.0,1,40~49,4.3,508.15,233.0
0,32.0,32,1.0,1,50~59,1.08,462.5,70.0
0,32.0,32,1.0,1,60~69,-3.3,283.33,9.0
0,,32,,1,70~79,,,0.0
0,,32,,1,80~89,,,0.0
0,,32,,1,90~99,,,0.0
0,32.0,32,2.0,2,20~29,7.85,221.85,145.0
0,32.0,32,2.0,2,30~39,6.83,297.0,300.0
0,32.0,32,2.0,2,40~49,3.83,393.55,114.0
0,32.0,32,2.0,2,50~59,11.38,352.5,29.0
0,32.0,32,2.0,2,60~69,8.64,295.0,4.0
0,,32,,2,70~79,,,0.0
0,,32,,2,80~89,,,0.0
0,,32,,2,90~99,,,0.0
0,33.0,33,1.0,1,20~29,,218.33,5.0
0,33.0,33,1.0,1,30~39,9.17,271.0,48.0
0,33.0,33,1.0,1,40~49,5.52,376.25,40.0
0,33.0,33,1.0,1,50~59,1.62,412.9,39.0
0,33.0,33,1.0,1,60~69,-0.8,209.17,11.0
0,33.0,33,1.0,1,70~79,,200.0,1.0
0,,33,,1,80~89,,,0.0
0,,33,,1,90~99,,,0.0
0,33.0,33,2.0,2,20~29,18.48,139.69,27.0
0,33.0,33,2.0,2,30~39,5.82,184.4,56.0
0,33.0,33,2.0,2,40~49,5.27,222.0,57.0
0,33.0,33,2.0,2,50~59,1.46,225.0,6.0
0,,33,,2,60~69,,,0.0
0,,33,,2,70~79,,,0.0
0,,33,,2,80~89,,,0.0
0,,33,,2,90~99,,,0.0
0,39.0,39,1.0,1,20~29,34.25,178.43,33.0
0,39.0,39,1.0,1,30~39,9.43,260.5,93.0
0,39.0,39,1.0,1,40~49,5.72,286.05,104.0
0,39.0,39,1.0,1,50~59,-0.4,286.11,36.0
0,39.0,39,1.0,1,60~69,8.39,246.25,25.0
0,39.0,39,1.0,1,70~79,-10.81,200.0,5.0
0,,39,,1,80~89,,,0.0
0,,39,,1,90~99,,,0.0
0,39.0,39,2.0,2,20~29,6.82,164.0,181.0
0,39.0,39,2.0,2,30~39,4.64,190.15,262.0
0,39.0,39,2.0,2,40~49,5.91,176.15,230.0
0,39.0,39,2.0,2,50~59,2.95,183.5,64.0
0,39.0,39,2.0,2,60~69,1.26,205.11,15.0
0,39.0,39,2.0,2,70~79,0.0,200.0,1.0
0,,39,,2,80~89,,,0.0
0,,39,,2,90~99,,,0.0
0,41.0,41,1.0,1,20~29,11.89,187.07,102.0
0,41.0,41,1.0,1,30~39,6.04,280.8,340.0
0,41.0,41,1.0,1,40~49,5.27,385.0,330.0
0,41.0,41,1.0,1,50~59,3.93,439.85,186.0
0,41.0,41,1.0,1,60~69,2.25,227.5,15.0
0,,41,,1,70~79,,,0.0
0,,41,,1,80~89,,,0.0
0,,41,,1,90~99,,,0.0
0,41.0,41,2.0,2,20~29,15.74,213.06,33.0
0,41.0,41,2.0,2,30~39,4.67,240.95,45.0
0,41.0,41,2.0,2,40~49,3.92,313.75,29.0
0,41.0,41,2.0,2,50~59,10.22,177.57,8.0
0,41.0,41,2.0,2,60~69,,200.0,1.0
0,,41,,2,70~79,,,0.0
0,,41,,2,80~89,,,0.0
0,,41,,2,90~99,,,0.0
0,42.0,42,1.0,1,20~29,12.79,180.0,27.0
0,42.0,42,1.0,1,30~39,2.95,252.0,79.0
0,42.0,42,1.0,1,40~49,7.11,305.0,94.0
0,42.0,42,1.0,1,50~59,0.47,203.0,109.0
0,42.0,42,1.0,1,60~69,-0.96,141.25,118.0
0,42.0,42,1.0,1,70~79,0.61,72.5,67.0
0,42.0,42,1.0,1,80~89,1.84,60.0,3.0
0,,42,,1,90~99,,,0.0
0,42.0,42,2.0,2,20~29,13.1,148.35,197.0
0,42.0,42,2.0,2,30~39,3.61,185.1,272.0
0,42.0,42,2.0,2,40~49,3.26,158.9,412.0
0,42.0,42,2.0,2,50~59,3.82,156.25,622.0
0,42.0,42,2.0,2,60~69,3.81,142.45,475.0
0,42.0,42,2.0,2,70~79,0.04,90.4,85.0
0,,42,,2,80~89,,,0.0
0,,42,,2,90~99,,,0.0
0,43.0,43,1.0,1,20~29,-2.22,142.3,67.0
0,43.0,43,1.0,1,30~39,9.93,285.05,99.0
0,43.0,43,1.0,1,40~49,1.56,279.8,142.0
0,43.0,43,1.0,1,50~59,3.58,272.5,105.0
0,43.0,43,1.0,1,60~69,-1.21,196.5,64.0
0,43.0,43,1.0,1,70~79,-30.12,163.71,10.0
0,,43,,1,80~89,,,0.0
0,,43,,1,90~99,,,0.0
0,43.0,43,2.0,2,20~29,13.6,185.33,41.0
0,43.0,43,2.0,2,30~39,8.3,242.45,52.0
0,43.0,43,2.0,2,40~49,7.1,193.4,37.0
0,43.0,43,2.0,2,50~59,-5.43,185.5,75.0
0,43.0,43,2.0,2,60~69,2.11,281.0,41.0
0,43.0,43,2.0,2,70~79,3.92,234.29,9.0
0,,43,,2,80~89,,,0.0
0,,43,,2,90~99,,,0.0
0,44.0,44,1.0,1,20~29,11.39,176.45,261.0
0,44.0,44,1.0,1,30~39,6.38,269.5,401.0
0,44.0,44,1.0,1,40~49,4.55,301.0,445.0
0,44.0,44,1.0,1,50~59,0.09,307.5,275.0
0,44.0,44,1.0,1,60~69,0.72,255.0,146.0
0,44.0,44,1.0,1,70~79,4.26,240.5,33.0
0,,44,,1,80~89,,,0.0
0,,44,,1,90~99,,,0.0
0,44.0,44,2.0,2,20~29,7.39,156.9,199.0
0,44.0,44,2.0,2,30~39,2.95,162.65,276.0
0,44.0,44,2.0,2,40~49,3.29,154.4,921.0
0,44.0,44,2.0,2,50~59,4.72,172.3,1360.0
0,44.0,44,2.0,2,60~69,0.95,150.5,561.0
0,44.0,44,2.0,2,70~79,2.62,125.85,86.0
0,44.0,44,2.0,2,80~89,0.0,60.0,2.0
0,,44,,2,90~99,,,0.0
0,51.0,51,1.0,1,20~29,9.77,181.67,136.0
0,51.0,51,1.0,1,30~39,6.57,261.25,533.0
0,51.0,51,1.0,1,40~49,4.22,312.0,622.0
0,51.0,51,1.0,1,50~59,0.63,301.5,330.0
0,51.0,51,1.0,1,60~69,2.43,303.5,97.0
0,51.0,51,1.0,1,70~79,-0.33,166.85,36.0
0,,51,,1,80~89,,,0.0
0,,51,,1,90~99,,,0.0
0,51.0,51,2.0,2,20~29,21.93,156.56,23.0
0,51.0,51,2.0,2,30~39,22.51,230.2,106.0
0,51.0,51,2.0,2,40~49,1.83,220.0,347.0
0,51.0,51,2.0,2,50~59,1.58,211.55,275.0
0,51.0,51,2.0,2,60~69,2.59,196.0,100.0
0,51.0,51,2.0,2,70~79,-2.94,129.17,14.0
0,,51,,2,80~89,,,0.0
0,,51,,2,90~99,,,0.0
0,52.0,52,1.0,1,20~29,7.24,163.1,315.0
0,52.0,52,1.0,1,30~39,6.33,254.0,956.0
0,52.0,52,1.0,1,40~49,5.08,351.25,991.0
0,52.0,52,1.0,1,50~59,0.53,322.5,882.0
0,52.0,52,1.0,1,60~69,2.02,209.0,557.0
0,52.0,52,1.0,1,70~79,0.56,135.5,186.0
0,52.0,52,1.0,1,80~89,-5.06,193.57,19.0
0,,52,,1,90~99,,,0.0
0,52.0,52,2.0,2,20~29,3.59,148.85,364.0
0,52.0,52,2.0,2,30~39,4.58,167.05,501.0
0,52.0,52,2.0,2,40~49,4.21,157.25,957.0
0,52.0,52,2.0,2,50~59,4.49,155.0,958.0
0,52.0,52,2.0,2,60~69,2.26,136.0,364.0
0,52.0,52,2.0,2,70~79,1.21,90.0,119.0
0,52.0,52,2.0,2,80~89,-5.82,56.67,18.0
0,,52,,2,90~99,,,0.0
0,53.0,53,1.0,1,20~29,3.8,164.28,107.0
0,53.0,53,1.0,1,30~39,6.77,227.5,147.0
0,53.0,53,1.0,1,40~49,3.7,276.5,105.0
0,53.0,53,1.0,1,50~59,3.86,175.0,67.0
0,53.0,53,1.0,1,60~69,4.0,121.5,51.0
0,53.0,53,1.0,1,70~79,7.42,147.0,17.0
0,53.0,53,1.0,1,80~89,-3.0,200.0,4.0
0,,53,,1,90~99,,,0.0
0,53.0,53,2.0,2,20~29,8.8,156.3,80.0
0,53.0,53,2.0,2,30~39,7.38,157.9,131.0
0,53.0,53,2.0,2,40~49,5.42,171.75,183.0
0,53.0,53,2.0,2,50~59,4.91,161.25,142.0
0,53.0,53,2.0,2,60~69,-6.5,98.55,71.0
0,53.0,53,2.0,2,70~79,-9.11,73.75,23.0
0,53.0,53,2.0,2,80~89,0.0,32.5,4.0
0,,53,,2,90~99,,,0.0
0,61.0,61,1.0,1,20~29,22.97,179.38,22.0
0,61.0,61,1.0,1,30~39,6.47,232.5,79.0
0,61.0,61,1.0,1,40~49,4.98,260.0,247.0
0,61.0,61,1.0,1,50~59,2.51,242.0,597.0
0,61.0,61,1.0,1,60~69,0.27,154.25,1059.0
0,61.0,61,1.0,1,70~79,0.89,87.25,838.0
0,61.0,61,1.0,1,80~89,-0.94,44.4,151.0
0,,61,,1,90~99,,,0.0
0,,61,,2,20~29,,,0.0
0,61.0,61,2.0,2,30~39,0.0,100.0,4.0
0,61.0,61,2.0,2,40~49,-6.23,145.5,12.0
0,61.0,61,2.0,2,50~59,5.51,120.2,63.0
0,61.0,61,2.0,2,60~69,-1.22,59.35,152.0
0,61.0,61,2.0,2,70~79,0.39,45.35,203.0
0,61.0,61,2.0,2,80~89,0.45,38.0,51.0
0,61.0,61,2.0,2,90~99,,40.0,1.0
0,,62,,1,20~29,,,0.0
0,,62,,1,30~39,,,0.0
0,62.0,62,1.0,1,40~49,7.92,118.0,6.0
0,62.0,62,1.0,1,50~59,7.0,177.5,21.0
0,62.0,62,1.0,1,60~69,3.39,174.55,18.0
0,62.0,62,1.0,1,70~79,2.76,148.33,8.0
0,,62,,1,80~89,,,0.0
0,,62,,1,90~99,,,0.0
0,,62,,2,20~29,,,0.0
0,,62,,2,30~39,,,0.0
0,,62,,2,40~49,,,0.0
0,62.0,62,2.0,2,50~59,-4.27,102.0,3.0
0,62.0,62,2.0,2,60~69,0.53,105.0,2.0
0,62.0,62,2.0,2,70~79,,25.0,1.0
0,,62,,2,80~89,,,0.0
0,,62,,2,90~99,,,0.0
0,63.0,63,1.0,1,20~29,6.27,275.0,4.0
0,63.0,63,1.0,1,30~39,-0.9,633.67,11.0
0,63.0,63,1.0,1,40~49,0.41,382.5,34.0
0,63.0,63,1.0,1,50~59,7.11,298.5,67.0
0,63.0,63,1.0,1,60~69,3.82,207.5,45.0
0,63.0,63,1.0,1,70~79,8.17,211.25,9.0
0,,63,,1,80~89,,,0.0
0,,63,,1,90~99,,,0.0
0,,63,,2,20~29,,,0.0
0,,63,,2,30~39,,,0.0
0,,63,,2,40~49,,,0.0
0,63.0,63,2.0,2,50~59,,70.0,1.0
0,63.0,63,2.0,2,60~69,11.53,110.0,8.0
0,63.0,63,2.0,2,70~79,1.86,112.5,8.0
0,63.0,63,2.0,2,80~89,0.0,100.0,1.0
0,,63,,2,90~99,,,0.0
0,71.0,71,1.0,1,20~29,7.33,198.25,33.0
0,71.0,71,1.0,1,30~39,6.91,253.2,64.0
0,71.0,71,1.0,1,40~49,0.6,291.5,80.0
0,71.0,71,1.0,1,50~59,2.69,252.0,89.0
0,71.0,71,1.0,1,60~69,-0.37,148.45,48.0
0,71.0,71,1.0,1,70~79,5.62,104.38,12.0
0,,71,,1,80~89,,,0.0
0,,71,,1,90~99,,,0.0
0,71.0,71,2.0,2,20~29,-0.35,197.0,33.0
0,71.0,71,2.0,2,30~39,19.12,150.3,49.0
0,71.0,71,2.0,2,40~49,10.72,127.55,89.0
0,71.0,71,2.0,2,50~59,5.53,151.0,148.0
0,71.0,71,2.0,2,60~69,7.46,136.25,43.0
0,71.0,71,2.0,2,70~79,-3.98,89.0,35.0
0,71.0,71,2.0,2,80~89,2.09,101.67,5.0
0,,71,,2,90~99,,,0.0
0,72.0,72,1.0,1,20~29,7.72,136.0,5.0
0,72.0,72,1.0,1,30~39,36.9,170.0,18.0
0,72.0,72,1.0,1,40~49,4.66,232.0,87.0
0,72.0,72,1.0,1,50~59,2.51,203.0,167.0
0,72.0,72,1.0,1,60~69,4.02,172.5,63.0
0,72.0,72,1.0,1,70~79,8.34,150.71,17.0
0,72.0,72,1.0,1,80~89,,120.0,1.0
0,72.0,72,1.0,1,90~99,14.17,137.0,1.0
0,72.0,72,2.0,2,20~29,0.0,151.0,5.0
0,72.0,72,2.0,2,30~39,10.62,125.0,35.0
0,72.0,72,2.0,2,40~49,4.77,123.5,152.0
0,72.0,72,2.0,2,50~59,4.2,133.65,387.0
0,72.0,72,2.0,2,60~69,4.03,113.75,152.0
0,72.0,72,2.0,2,70~79,-1.86,50.0,9.0
0,72.0,72,2.0,2,80~89,-29.16,28.25,5.0
0,,72,,2,90~99,,,0.0
0,73.0,73,1.0,1,20~29,16.68,155.0,14.0
0,73.0,73,1.0,1,30~39,14.71,229.65,35.0
0,73.0,73,1.0,1,40~49,8.57,266.75,87.0
0,73.0,73,1.0,1,50~59,1.56,260.5,140.0
0,73.0,73,1.0,1,60~69,3.83,316.75,54.0
0,73.0,73,1.0,1,70~79,-1.18,375.0,4.0
0,,73,,1,80~89,,,0.0
0,,73,,1,90~99,,,0.0
0,,73,,2,20~29,,,0.0
0,73.0,73,2.0,2,30~39,,152.5,2.0
0,73.0,73,2.0,2,40~49,3.43,126.43,9.0
0,73.0,73,2.0,2,50~59,7.01,144.0,14.0
0,73.0,73,2.0,2,60~69,7.76,200.0,1.0
0,,73,,2,70~79,,,0.0
0,,73,,2,80~89,,,0.0
0,,73,,2,90~99,,,0.0
0,74.0,74,1.0,1,20~29,16.3,208.89,66.0
0,74.0,74,1.0,1,30~39,7.61,273.5,247.0
0,74.0,74,1.0,1,40~49,4.75,287.2,266.0
0,74.0,74,1.0,1,50~59,2.33,259.7,359.0
0,74.0,74,1.0,1,60~69,1.26,219.0,117.0
0,74.0,74,1.0,1,70~79,4.49,176.43,9.0
0,,74,,1,80~89,,,0.0
0,,74,,1,90~99,,,0.0
0,74.0,74,2.0,2,20~29,53.33,160.0,4.0
0,74.0,74,2.0,2,30~39,21.67,157.57,7.0
0,74.0,74,2.0,2,40~49,4.68,135.15,30.0
0,74.0,74,2.0,2,50~59,10.96,140.7,21.0
0,74.0,74,2.0,2,60~69,2.33,148.11,10.0
0,,74,,2,70~79,,,0.0
0,,74,,2,80~89,,,0.0
0,,74,,2,90~99,,,0.0
0,75.0,75,1.0,1,20~29,14.03,187.5,193.0
0,75.0,75,1.0,1,30~39,7.92,272.05,507.0
0,75.0,75,1.0,1,40~49,4.65,305.5,708.0
0,75.0,75,1.0,1,50~59,1.96,314.1,451.0
0,75.0,75,1.0,1,60~69,0.47,202.0,129.0
0,75.0,75,1.0,1,70~79,-0.59,98.0,36.0
0,,75,,1,80~89,,,0.0
0,,75,,1,90~99,,,0.0
0,75.0,75,2.0,2,20~29,13.64,210.0,3.0
0,75.0,75,2.0,2,30~39,9.67,190.94,11.0
0,75.0,75,2.0,2,40~49,16.93,139.64,15.0
0,75.0,75,2.0,2,50~59,0.0,191.67,4.0
0,75.0,75,2.0,2,60~69,-0.23,191.25,8.0
0,75.0,75,2.0,2,70~79,2.73,245.0,1.0
0,,75,,2,80~89,,,0.0
0,,75,,2,90~99,,,0.0
0,76.0,76,1.0,1,20~29,7.82,189.0,114.0
0,76.0,76,1.0,1,30~39,5.8,271.8,363.0
0,76.0,76,1.0,1,40~49,3.66,305.5,418.0
0,76.0,76,1.0,1,50~59,1.84,305.5,292.0
0,76.0,76,1.0,1,60~69,1.67,293.5,103.0
0,76.0,76,1.0,1,70~79,0.37,100.0,1.0
0,,76,,1,80~89,,,0.0
0,,76,,1,90~99,,,0.0
0,76.0,76,2.0,2,20~29,25.0,190.0,3.0
0,76.0,76,2.0,2,30~39,4.9,178.5,18.0
0,76.0,76,2.0,2,40~49,6.36,129.5,30.0
0,76.0,76,2.0,2,50~59,10.56,195.89,13.0
0,,76,,2,60~69,,,0.0
0,,76,,2,70~79,,,0.0
0,,76,,2,80~89,,,0.0
0,,76,,2,90~99,,,0.0
0,77.0,77,1.0,1,20~29,5.76,168.6,78.0
0,77.0,77,1.0,1,30~39,5.08,232.5,284.0
0,77.0,77,1.0,1,40~49,4.05,305.75,313.0
0,77.0,77,1.0,1,50~59,1.66,288.5,118.0
0,77.0,77,1.0,1,60~69,1.68,172.86,22.0
0,,77,,1,70~79,,,0.0
0,,77,,1,80~89,,,0.0
