,depth,depth2,p_sex,p_sex2,p_age_range,median_growth,median_wage,count2
0,23.0,23,1.0,1,55~59,-0.47,451.7,182.0
0,23.0,23,1.0,1,60~64,-1.53,354.8,139.0
0,23.0,23,1.0,1,65~69,-2.51,326.5,43.0
0,23.0,23,1.0,1,70~74,-0.96,379.33,7.0
0,23.0,23,1.0,1,75~79,,174.0,1.0
0,,23,,1,80~84,,,0.0
0,,23,,1,85~89,,,0.0
0,,23,,1,90~94,,,0.0
0,,23,,1,95~99,,,0.0
0,23.0,23,2.0,2,20~24,6.16,206.2,36.0
0,23.0,23,2.0,2,25~29,2.52,252.5,115.0
0,23.0,23,2.0,2,30~34,3.59,308.1,73.0
0,23.0,23,2.0,2,35~39,1.26,322.9,46.0
0,23.0,23,2.0,2,40~44,0.48,323.8,51.0
0,23.0,23,2.0,2,45~49,2.82,287.0,38.0
0,23.0,23,2.0,2,50~54,-7.62,321.7,15.0
0,23.0,23,2.0,2,55~59,-10.94,359.75,6.0
0,,23,,2,60~64,,,0.0
0,,23,,2,65~69,,,0.0
0,,23,,2,70~74,,,0.0
0,,23,,2,75~79,,,0.0
0,,23,,2,80~84,,,0.0
0,,23,,2,85~89,,,0.0
0,,23,,2,90~94,,,0.0
0,,23,,2,95~99,,,0.0
0,24.0,24,1.0,1,20~24,,162.0,11.0
0,24.0,24,1.0,1,25~29,9.09,238.5,144.0
0,24.0,24,1.0,1,30~34,5.16,321.4,205.0
0,24.0,24,1.0,1,35~39,4.08,354.0,220.0
0,24.0,24,1.0,1,40~44,3.92,326.0,169.0
0,24.0,24,1.0,1,45~49,2.78,327.6,164.0
0,24.0,24,1.0,1,50~54,1.37,331.3,132.0
0,24.0,24,1.0,1,55~59,-0.5,322.6,96.0
0,24.0,24,1.0,1,60~64,-2.02,279.5,49.0
0,24.0,24,1.0,1,65~69,-1.53,197.7,28.0
0,24.0,24,1.0,1,70~74,-1.75,200.2,6.0
0,24.0,24,1.0,1,75~79,-1.06,210.3,7.0
0,24.0,24,1.0,1,80~84,-1.16,172.5,2.0
0,,24,,1,85~89,,,0.0
0,,24,,1,90~94,,,0.0
0,,24,,1,95~99,,,0.0
0,24.0,24,2.0,2,20~24,8.21,180.7,342.0
0,24.0,24,2.0,2,25~29,5.48,219.2,745.0
0,24.0,24,2.0,2,30~34,3.11,220.3,612.0
0,24.0,24,2.0,2,35~39,3.71,224.2,667.0
0,24.0,24,2.0,2,40~44,4.46,216.7,684.0
0,24.0,24,2.0,2,45~49,4.62,218.8,556.0
0,24.0,24,2.0,2,50~54,3.49,228.7,305.0
0,24.0,24,2.0,2,55~59,1.6,254.7,140.0
0,24.0,24,2.0,2,60~64,-0.54,236.8,60.0
0,24.0,24,2.0,2,65~69,-1.02,256.4,19.0
0,24.0,24,2.0,2,70~74,1.24,233.8,6.0
0,,24,,2,75~79,,,0.0
0,24.0,24,2.0,2,80~84,-1.66,33.0,1.0
0,,24,,2,85~89,,,0.0
0,,24,,2,90~94,,,0.0
0,,24,,2,95~99,,,0.0
0,25.0,25,1.0,1,20~24,-13.9,220.75,6.0
0,25.0,25,1.0,1,25~29,-1.32,221.6,74.0
0,25.0,25,1.0,1,30~34,1.7,288.6,161.0
0,25.0,25,1.0,1,35~39,3.14,368.6,247.0
0,25.0,25,1.0,1,40~44,1.71,449.7,247.0
0,25.0,25,1.0,1,45~49,1.77,467.8,207.0
0,25.0,25,1.0,1,50~54,1.01,513.3,211.0
0,25.0,25,1.0,1,55~59,1.64,557.5,170.0
0,25.0,25,1.0,1,60~64,0.33,556.3,82.0
0,25.0,25,1.0,1,65~69,-1.62,293.7,18.0
0,,25,,1,70~74,,,0.0
0,,25,,1,75~79,,,0.0
0,,25,,1,80~84,,,0.0
0,,25,,1,85~89,,,0.0
0,,25,,1,90~94,,,0.0
0,,25,,1,95~99,,,0.0
0,25.0,25,2.0,2,20~24,14.14,167.6,97.0
0,25.0,25,2.0,2,25~29,3.77,231.8,307.0
0,25.0,25,2.0,2,30~34,1.67,268.9,411.0
0,25.0,25,2.0,2,35~39,1.98,317.4,462.0
0,25.0,25,2.0,2,40~44,3.19,348.5,467.0
0,25.0,25,2.0,2,45~49,2.51,374.6,295.0
0,25.0,25,2.0,2,50~54,2.53,441.6,199.0
0,25.0,25,2.0,2,55~59,2.18,487.6,101.0
0,25.0,25,2.0,2,60~64,-2.94,494.7,34.0
0,25.0,25,2.0,2,65~69,44.25,478.0,12.0
0,25.0,25,2.0,2,70~74,,274.0,1.0
0,,25,,2,75~79,,,0.0
0,,25,,2,80~84,,,0.0
0,,25,,2,85~89,,,0.0
0,,25,,2,90~94,,,0.0
0,,25,,2,95~99,,,0.0
0,,26,,1,20~24,,,0.0
0,26.0,26,1.0,1,25~29,,1097.0,1.0
0,26.0,26,1.0,1,30~34,,661.25,3.0
0,26.0,26,1.0,1,35~39,-3.65,467.5,24.0
0,26.0,26,1.0,1,40~44,2.14,500.7,43.0
0,26.0,26,1.0,1,45~49,4.55,509.0,48.0
0,26.0,26,1.0,1,50~54,3.62,558.0,60.0
0,26.0,26,1.0,1,55~59,3.12,591.2,47.0
0,26.0,26,1.0,1,60~64,0.77,561.0,10.0
0,,26,,1,65~69,,,0.0
0,,26,,1,70~74,,,0.0
0,,26,,1,75~79,,,0.0
0,,26,,1,80~84,,,0.0
0,,26,,1,85~89,,,0.0
0,,26,,1,90~94,,,0.0
0,,26,,1,95~99,,,0.0
0,,26,,2,20~24,,,0.0
0,26.0,26,2.0,2,25~29,-3.67,535.0,2.0
0,26.0,26,2.0,2,30~34,8.86,535.33,6.0
0,26.0,26,2.0,2,35~39,0.47,521.6,21.0
0,26.0,26,2.0,2,40~44,2.28,542.7,23.0
0,26.0,26,2.0,2,45~49,1.97,464.3,10.0
0,26.0,26,2.0,2,50~54,5.74,551.25,8.0
0,26.0,26,2.0,2,55~59,0.14,538.4,7.0
0,26.0,26,2.0,2,60~64,-0.65,381.0,1.0
0,,26,,2,65~69,,,0.0
