,depth2,p_sex2,p_age_range,median_wage
3,33,1,35~39,332.1
4,33,1,40~44,384.9
5,33,1,45~49,452.6
6,33,1,50~54,477.1
7,33,1,55~59,452.7
8,33,1,60~64,245.88
9,33,1,65~69,175.5
10,33,1,70~74,224.0
0,33,2,20~24,161.33
1,33,2,25~29,163.8
2,33,2,30~34,205.2
3,33,2,35~39,214.0
4,33,2,40~44,243.8
5,33,2,45~49,263.6
6,33,2,50~54,245.5
7,33,2,55~59,0.0
8,33,2,60~64,0.0
0,39,1,20~24,166.5
1,39,1,25~29,216.1
2,39,1,30~34,242.9
3,39,1,35~39,342.2
4,39,1,40~44,367.3
5,39,1,45~49,293.2
6,39,1,50~54,367.0
7,39,1,55~59,290.5
8,39,1,60~64,287.6
9,39,1,65~69,230.33
10,39,1,70~74,223.8
0,39,2,20~24,166.3
1,39,2,25~29,204.4
2,39,2,30~34,217.2
3,39,2,35~39,212.6
4,39,2,40~44,189.7
5,39,2,45~49,199.1
6,39,2,50~54,201.0
7,39,2,55~59,200.4
8,39,2,60~64,265.5
9,39,2,65~69,198.75
10,39,2,70~74,219.0
0,41,1,20~24,197.5
1,41,1,25~29,220.4
2,41,1,30~34,297.0
3,41,1,35~39,364.3
4,41,1,40~44,412.9
5,41,1,45~49,461.1
6,41,1,50~54,503.8
7,41,1,55~59,490.9
8,41,1,60~64,374.67
9,41,1,65~69,138.83
0,41,2,20~24,224.12
1,41,2,25~29,243.4
2,41,2,30~34,259.9
3,41,2,35~39,295.3
4,41,2,40~44,313.2
5,41,2,45~49,384.3
6,41,2,50~54,297.0
7,41,2,55~59,160.8
8,41,2,60~64,224.0
0,42,1,20~24,154.75
1,42,1,25~29,223.3
2,42,1,30~34,306.3
3,42,1,35~39,313.1
4,42,1,40~44,327.0
5,42,1,45~49,358.9
6,42,1,50~54,259.2
7,42,1,55~59,227.8
8,42,1,60~64,177.3
9,42,1,65~69,142.9
10,42,1,70~74,93.2
11,42,1,75~79,66.7
12,42,1,80~84,63.5
0,42,2,20~24,152.3
1,42,2,25~29,195.0
2,42,2,30~34,222.2
3,42,2,35~39,194.9
4,42,2,40~44,182.0
5,42,2,45~49,180.7
6,42,2,50~54,180.0
7,42,2,55~59,173.4
8,42,2,60~64,166.5
9,42,2,65~69,150.4
10,42,2,70~74,123.7
11,42,2,75~79,74.9
0,43,1,20~24,127.7
1,43,1,25~29,202.6
2,43,1,30~34,287.9
3,43,1,35~39,378.1
4,43,1,40~44,324.8
5,43,1,45~49,300.7
6,43,1,50~54,319.8
7,43,1,55~59,301.1
8,43,1,60~64,246.9
9,43,1,65~69,192.6
10,43,1,70~74,249.0
11,43,1,75~79,41.25
0,43,2,20~24,147.38
1,43,2,25~29,266.5
2,43,2,30~34,284.4
3,43,2,35~39,262.1
4,43,2,40~44,187.9
5,43,2,45~49,248.8
6,43,2,50~54,204.4
7,43,2,55~59,211.8
8,43,2,60~64,379.4
9,43,2,65~69,249.4
10,43,2,70~74,299.38
11,43,2,75~79,219.67
0,44,1,20~24,165.6
1,44,1,25~29,236.0
2,44,1,30~34,268.3
3,44,1,35~39,338.4
4,44,1,40~44,345.9
5,44,1,45~49,359.7
6,44,1,50~54,361.7
7,44,1,55~59,343.9
8,44,1,60~64,300.8
9,44,1,65~69,268.8
10,44,1,70~74,207.4
11,44,1,75~79,322.9
0,44,2,20~24,170.2
1,44,2,25~29,185.4
2,44,2,30~34,181.3
3,44,2,35~39,189.8
4,44,2,40~44,183.5
5,44,2,45~49,182.4
6,44,2,50~54,190.0
7,44,2,55~59,199.6
8,44,2,60~64,174.6
9,44,2,65~69,164.6
10,44,2,70~74,148.2
11,44,2,75~79,131.7
12,44,2,80~84,65.5
0,51,1,20~24,188.62
1,51,1,25~29,233.0
2,51,1,30~34,275.5
3,51,1,35~39,330.4
4,51,1,40~44,382.4
5,51,1,45~49,351.1
6,51,1,50~54,358.9
7,51,1,55~59,321.3
8,51,1,60~64,316.9
9,51,1,65~69,385.9
10,51,1,70~74,221.5
11,51,1,75~79,153.1
0,51,2,20~24,175.25
1,51,2,25~29,189.4
2,51,2,30~34,309.0
3,51,2,35~39,233.9
4,51,2,40~44,230.6
5,51,2,45~49,276.0
6,51,2,50~54,254.8
7,51,2,55~59,218.9
8,51,2,60~64,198.6
9,51,2,65~69,240.5
10,51,2,70~74,158.8
11,51,2,75~79,56.0
0,52,1,20~24,158.1
1,52,1,25~29,222.1
2,52,1,30~34,260.1
3,52,1,35~39,318.6
4,52,1,40~44,364.6
5,52,1,45~49,424.9
6,52,1,50~54,393.9
7,52,1,55~59,344.4
8,52,1,60~64,286.0
9,52,1,65~69,191.0
10,52,1,70~74,168.0
11,52,1,75~79,129.1
12,52,1,80~84,165.0
13,52,1,85~89,321.0
0,52,2,20~24,164.2
1,52,2,25~29,184.3
2,52,2,30~34,200.3
3,52,2,35~39,188.6
4,52,2,40~44,188.8
5,52,2,45~49,181.5
6,52,2,50~54,173.4
7,52,2,55~59,179.6
8,52,2,60~64,163.6
9,52,2,65~69,134.9
10,52,2,70~74,95.6
11,52,2,75~79,104.1
12,52,2,80~84,63.7
13,52,2,85~89,53.0
0,53,1,20~24,177.5
1,53,1,25~29,207.1
2,53,1,30~34,246.6
3,53,1,35~39,273.3
4,53,1,40~44,309.8
5,53,1,45~49,297.9
6,53,1,50~54,215.9
7,53,1,55~59,182.4
8,53,1,60~64,142.3
9,53,1,65~69,133.8
10,53,1,70~74,125.9
11,53,1,75~79,206.6
12,53,1,80~84,217.0
0,53,2,20~24,184.3
1,53,2,25~29,185.8
2,53,2,30~34,188.2
3,53,2,35~39,169.2
4,53,2,40~44,180.5
5,53,2,45~49,208.2
6,53,2,50~54,203.3
7,53,2,55~59,167.6
8,53,2,60~64,133.4
9,53,2,65~69,95.8
10,53,2,70~74,69.7
11,53,2,75~79,110.5
12,53,2,80~84,41.5
13,53,2,85~89,38.5
0,61,1,20~24,199.67
1,61,1,25~29,211.5
2,61,1,30~34,214.1
3,61,1,35~39,330.0
4,61,1,40~44,312.2
5,61,1,45~49,284.1
6,61,1,50~54,283.8
7,61,1,55~59,261.1
8,61,1,60~64,202.4
9,61,1,65~69,153.1
10,61,1,70~74,113.5
11,61,1,75~79,82.4
12,61,1,80~84,62.2
13,61,1,85~89,39.9
0,61,2,20~24,0.0
1,61,2,25~29,0.0
2,61,2,30~34,112.5
3,61,2,35~39,0.0
4,61,2,40~44,274.0
5,61,2,45~49,136.5
6,61,2,50~54,139.6
7,61,2,55~59,137.8
8,61,2,60~64,69.5
9,61,2,65~69,66.0
10,61,2,70~74,57.6
11,61,2,75~79,47.7
12,61,2,80~84,41.5
13,61,2,85~89,43.0
14,61,2,90~94,44.0
0,62,1,20~24,0.0
1,62,1,25~29,0.0
2,62,1,30~34,0.0
3,62,1,35~39,0.0
4,62,1,40~44,125.0
5,62,1,45~49,146.25
6,62,1,50~54,191.1
7,62,1,55~59,221.2
8,62,1,60~64,238.3
9,62,1,65~69,154.9
10,62,1,70~74,157.8
11,62,1,75~79,204.0
0,62,2,20~24,0.0
1,62,2,25~29,0.0
2,62,2,30~34,0.0
3,62,2,35~39,0.0
4,62,2,40~44,0.0
5,62,2,45~49,0.0
6,62,2,50~54,0.0
7,62,2,55~59,127.33
8,62,2,60~64,125.0
9,62,2,65~69,116.0
10,62,2,70~74,29.0
0,63,1,20~24,276.0
1,63,1,25~29,302.0
2,63,1,30~34,722.0
3,63,1,35~39,827.62
4,63,1,40~44,404.9
5,63,1,45~49,464.7
6,63,1,50~54,372.4
7,63,1,55~59,309.7
8,63,1,60~64,237.8
9,63,1,65~69,249.9
10,63,1,70~74,229.38
0,63,2,20~24,0.0
1,63,2,25~29,0.0
2,63,2,30~34,0.0
3,63,2,35~39,0.0
4,63,2,40~44,0.0
5,63,2,45~49,0.0
6,63,2,50~54,0.0
7,63,2,55~59,83.0
8,63,2,60~64,135.75
9,63,2,65~69,115.75
10,63,2,70~74,145.75
11,63,2,75~79,111.0
12,63,2,80~84,105.0
0,71,1,20~24,203.83
1,71,1,25~29,230.9
2,71,1,30~34,241.6
3,71,1,35~39,321.2
4,71,1,40~44,293.8
5,71,1,45~49,371.0
6,71,1,50~54,329.2
7,71,1,55~59,235.2
8,71,1,60~64,217.9
9,71,1,65~69,126.4
10,71,1,70~74,116.6
11,71,1,75~79,121.83
0,71,2,20~24,205.5
1,71,2,25~29,244.9
2,71,2,30~34,197.0
3,71,2,35~39,142.6
4,71,2,40~44,143.8
5,71,2,45~49,160.7
6,71,2,50~54,169.6
7,71,2,55~59,177.6
8,71,2,60~64,148.5
9,71,2,65~69,156.6
10,71,2,70~74,117.7
11,71,2,75~79,86.0
12,71,2,80~84,108.83
0,72,1,20~24,119.0
1,72,1,25~29,173.5
2,72,1,30~34,113.25
3,72,1,35~39,268.4
4,72,1,40~44,270.9
5,72,1,45~49,283.2
6,72,1,50~54,232.5
7,72,1,55~59,234.0
8,72,1,60~64,198.9
9,72,1,65~69,197.4
10,72,1,70~74,170.6
11,72,1,75~79,164.25
12,72,1,80~84,0.0
13,72,1,85~89,132.0
14,72,1,90~94,149.0
0,72,2,20~24,162.0
1,72,2,25~29,166.33
2,72,2,30~34,102.67
3,72,2,35~39,176.2
4,72,2,40~44,150.3
5,72,2,45~49,143.2
6,72,2,50~54,148.5
7,72,2,55~59,160.7
8,72,2,60~64,148.8
9,72,2,65~69,103.3
10,72,2,70~74,107.0
11,72,2,75~79,20.67
12,72,2,80~84,41.67
13,72,2,85~89,11.0
0,73,1,20~24,162.0
1,73,1,25~29,190.0
2,73,1,30~34,249.5
3,73,1,35~39,286.2
4,73,1,40~44,298.4
5,73,1,45~49,313.1
6,73,1,50~54,277.7
7,73,1,55~59,318.1
8,73,1,60~64,357.3
9,73,1,65~69,356.9
10,73,1,70~74,405.17
0,73,2,20~24,0.0
1,73,2,25~29,0.0
2,73,2,30~34,168.0
3,73,2,35~39,0.0
4,73,2,40~44,142.38
5,73,2,45~49,162.0
6,73,2,50~54,161.9
7,73,2,55~59,166.2
8,73,2,60~64,218.0
0,74,1,20~24,232.62
1,74,1,25~29,252.0
2,74,1,30~34,301.8
3,74,1,35~39,323.8
